Timestamp,longitude,latitude,Speed,Operatorname,Operator,CGI,Node,HR,id,LAC,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,rssi,ARFCN,DL_bitrate,UL_bitrate,PSC,Altitude,Height,Accuracy,Location,State,PINGAVG,PINGMIN,PINGMAX,PINGSTDEV,PINGLOSS,TESTDOWNLINK,TESTUPLINK,TESTDOWNLINKMAX,TESTUPLINKMAX,Test_Status,DataConnection_Type,DataConnection_Info,Layer,Filemark,IMEI,Distance,Bearing,IP,TA,EVENT,EVENTDETAILS,IMSI,MSISDN,SERVINGTIME,CELLHEX,NODEHEX,LACHEX,RAWCELLID,VERSION_NAME,VERSION_CODE,DEVICE,BAND,BANDWIDTH,SIN(LAT2),COS(LAT2),LONG2-LONG1,COS(LONG2-LONG1),SIN(LAT1)*SIN(LAT2),cos(lat1) * cos(lat2) ,cos(lat1) * cos(lat2) * cos(long2 – long1)],(sin(lat1) * sin(lat2)) + cos(lat1) * cos(lat2) * cos(long2 – long1)],ARCOS,3963*ARCOS,KILOMETERS(D2),(D2)^2,(Tx-Rx)^2+(D2)^2,D3 = sqrt((Tx-Rx)^2+(D2)^2)
2022.11.14_15.19.06,80.15627,12.840987,0,40440,40440,4.04E+14,605135,22.09944751,15,42107,4G,4G,-88,-17,-2.2,-,-64,39150,0,0,15,-59,-59,8,G,I,,,,,,,,,,,M,13,1,,,-1,1000,100.101.126.137,21,LOG START,,,,20,F,93BCF,A47B,154914575,19.7,375,Xiaomi:Redmi Note 6 Pro:PKQ1.180904.001,L40,20,0.271177717,0.962529296,0.000645,0.999999792,0.073096393,0.926902181,0.926901988,0.999998381,0.001799538,7.131567606,11.47714554,131.7248697,1590.20097,39.877324
2022.11.14_15.19.06,80.156243,12.841019,0,40440,40440,4.04E+14,605135,22.09944751,15,42107,4G,4G,-88,-17,-2.2,-,-64,39150,0,0,15,-60,-60,5,G,I,,,,,,,,,,,M,13,1,,,-1,1000,100.101.126.137,21,,,,,20,F,93BCF,A47B,154914575,19.7,375,Xiaomi:Redmi Note 6 Pro:PKQ1.180904.001,L40,20,0.271208518,0.962520618,0.000618,0.999999809,0.073104695,0.926893824,0.926893647,0.999998342,0.001820946,7.216408819,11.61368423,134.8776615,1593.353762,39.91683556
2022.11.14_15.19.39,80.156178,12.841084,0,40440,40440,4.04E+14,605135,22.09944751,15,42107,4G,4G,-87,-14,5.6,-,-63,39150,0,0,15,-64,-64,4,G,I,,,,,,,,,,,M,13,1,,,-1,1000,100.101.126.137,21,,,,,47,F,93BCF,A47B,154914575,19.7,375,Xiaomi:Redmi Note 6 Pro:PKQ1.180904.001,L40,20,0.271271081,0.962502987,0.000553,0.999999847,0.073121559,0.926876846,0.926876704,0.999998263,0.001863664,7.385700354,11.88613255,141.280147,1599.756247,39.99695297
2022.11.14_15.20.04,80.156178,12.841084,0,40440,40440,4.04E+14,605135,22.09944751,215,42107,4G,4G,-80,-13,2,-,-63,39294,0,0,15,-64,-64,4,G,I,,,,,,,,,,,M,13,1,,,-1,1000,100.101.126.137,,HANDOVER_DATA_4G4G,404-40-42107-605135-15-39150-15:404-40-42107-605135-215-39294-15,,,68,D7,93BCF,A47B,154914775,19.7,375,Xiaomi:Redmi Note 6 Pro:PKQ1.180904.001,L40,20,0.271271081,0.962502987,0.000553,0.999999847,0.073121559,0.926876846,0.926876704,0.999998263,0.001863664,7.385700354,11.88613255,141.280147,1599.756247,39.99695297
2022.11.14_15.20.29,80.156178,12.841084,0,40440,40440,4.04E+14,605135,22.09944751,215,42107,4G,4G,-80,-13,8.6,-,-64,39294,0,0,15,-64,-64,4,G,I,,,,,,,,,,,M,13,1,,,-1,1000,100.101.126.137,,LOG_END,,,,1,D7,93BCF,A47B,154914775,19.7,375,Xiaomi:Redmi Note 6 Pro:PKQ1.180904.001,L40,20,0.271271081,0.962502987,0.000553,0.999999847,0.073121559,0.926876846,0.926876704,0.999998263,0.001863664,7.385700354,11.88613255,141.280147,1599.756247,39.99695297
2022.11.14_15.21.03,80.156164,12.841086,0,40440,40440,4.04E+14,605135,22.09944751,215,42107,4G,4G,-80,-13,0.8,-,-63,39294,0,0,15,0,0,11,G,I,,,,,,,,,,,M,13,1,,,-1,1000,100.101.126.137,,LOG START,,,,1,D7,93BCF,A47B,154914775,19.7,375,Xiaomi:Redmi Note 6 Pro:PKQ1.180904.001,L40,20,0.271273006,0.962502445,0.000539,0.999999855,0.073122078,0.926876324,0.926876189,0.999998267,0.001861779,7.37823032,11.8741107,140.9945048,1599.470605,39.99338201
2022.11.14_15.21.03,80.156158,12.841093,0,40440,40440,4.04E+14,605135,22.09944751,215,42107,4G,4G,-80,-13,0.8,-,-63,39294,0,0,15,-71,-71,4,G,I,,,,,,,,,,,M,13,1,,,-1,1000,100.101.126.137,,,,,,1,D7,93BCF,A47B,154914775,19.7,375,Xiaomi:Redmi Note 6 Pro:PKQ1.180904.001,L40,20,0.271279743,0.962500546,0.000533,0.999999858,0.073123894,0.926874495,0.926874363,0.999998257,0.001866907,7.398550576,11.90681298,141.7721953,1600.248295,40.00310357
2022.11.14_15.22.24,80.156153,12.841097,0,40440,40440,4.04E+14,605135,22.09944751,15,42107,4G,4G,-89,-16,2.6,-,-63,39150,0,0,15,0,0,7,G,I,,,,,,,,,,,M,13,1,,,-1,1000,100.101.126.137,21,LOG START,,,,17,F,93BCF,A47B,154914575,19.7,375,Xiaomi:Redmi Note 6 Pro:PKQ1.180904.001,L40,20,0.271283593,0.962499461,0.000528,0.999999861,0.073124932,0.92687345,0.926873321,0.999998253,0.001869438,7.408582996,11.92295859,142.1569416,1600.633042,40.00791224
2022.11.14_15.22.24,80.156147,12.841103,0,40440,40440,4.04E+14,605135,22.09944751,15,42107,4G,4G,-89,-16,2.6,-,-63,39150,0,0,15,-65,-65,10,G,I,,,,,,,,,,,M,13,1,,,-1,1000,100.101.126.137,21,,,,,17,F,93BCF,A47B,154914575,19.7,375,Xiaomi:Redmi Note 6 Pro:PKQ1.180904.001,L40,20,0.271289368,0.962497833,0.000522,0.999999864,0.073126488,0.926871883,0.926871756,0.999998245,0.001873655,7.425294591,11.9498533,142.7989939,1601.275094,40.0159355
2022.11.14_15.22.58,80.156147,12.841103,0,40440,40440,4.04E+14,605135,22.09944751,10,42107,4G,4G,-112,-19,-2.2,-,-69,39150,0,0,264,-65,-65,10,G,I,,,,,,,,,,,M,13,1,,,-1,1000,100.101.126.137,,CELL_RESELECTION_4G4G,404-40-42107-605135-15-39150-15:404-40-42107-605135-10-39150-264,,,46,A,93BCF,A47B,154914570,19.7,375,Xiaomi:Redmi Note 6 Pro:PKQ1.180904.001,L40,20,0.271289368,0.962497833,0.000522,0.999999864,0.073126488,0.926871883,0.926871756,0.999998245,0.001873655,7.425294591,11.9498533,142.7989939,1601.275094,40.0159355
